os,warm,ob,cool,slk,ros,rob,n,eh,tpx,slx,rr,pt,nt,pnl,wr,dd
0,-30,-60,-10,0,20,15,74306,360,0.45,0.4,1.125,0.4,104,384.4658422790053,49.03846153846153,-156.10509214829744
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.4,1.125,0.4,104,384.4658422790053,49.03846153846153,-156.10509214829744
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.4,1.125,0.4,104,384.4658422790053,49.03846153846153,-156.10509214829744
0,-30,-60,-10,0,15,15,74306,360,0.45,0.4,1.125,0.4,104,384.4658422790053,49.03846153846153,-156.10509214829744
0,-30,-60,-10,0,20,15,74306,360,0.45,0.3,1.5,0.4,115,382.7035145897512,45.21739130434783,-142.8660627698
0,-30,-60,-10,0,15,15,74306,360,0.45,0.3,1.5,0.4,115,382.7035145897512,45.21739130434783,-142.8660627698
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.3,1.5,0.4,115,382.7035145897512,45.21739130434783,-142.8660627698
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.3,1.5,0.4,115,382.7035145897512,45.21739130434783,-142.8660627698
-5,-30,-60,-10,0,15,15,74306,360,0.45,0.35,1.2857142857142858,0.4,108,380.010855066781,47.22222222222222,-137.5472712223018
0,-30,-60,-10,0,15,15,74306,360,0.45,0.35,1.2857142857142858,0.4,108,380.010855066781,47.22222222222222,-137.5472712223018
0,-30,-60,-10,0,20,15,74306,360,0.45,0.35,1.2857142857142858,0.4,108,380.010855066781,47.22222222222222,-137.5472712223018
-5,-30,-60,-10,0,20,15,74306,360,0.45,0.35,1.2857142857142858,0.4,108,380.010855066781,47.22222222222222,-137.5472712223018
0,-30,-60,-10,0,20,10,73983,360,0.45,0.35,1.2857142857142858,0.4,116,379.0544893377041,46.55172413793103,-131.13518743602435
0,-30,-60,-10,0,20,10,73983,480,0.7,0.35,2.0,0.45,114,378.9738085320946,45.614035087719294,-155.3955741913005
0,-30,-60,-10,0,15,15,74306,480,0.7,0.2,3.4999999999999996,0.4,152,368.5348512868718,32.23684210526316,-140.66565964245456
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.2,3.4999999999999996,0.4,152,368.5348512868718,32.23684210526316,-140.66565964245456
0,-30,-60,-10,0,20,15,74306,480,0.7,0.2,3.4999999999999996,0.4,152,368.5348512868718,32.23684210526316,-140.66565964245456
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.2,3.4999999999999996,0.4,152,368.5348512868718,32.23684210526316,-140.66565964245456
-5,-30,-60,-10,0,15,15,74306,360,0.6,0.25,2.4,0.4,105,366.87367535481144,40.0,-165.25420685158952
0,-30,-60,-10,0,15,15,74306,360,0.6,0.25,2.4,0.4,105,366.87367535481144,40.0,-165.25420685158952
0,-30,-60,-10,0,20,15,74306,360,0.6,0.25,2.4,0.4,105,366.87367535481144,40.0,-165.25420685158952
-5,-30,-60,-10,0,20,15,74306,360,0.6,0.25,2.4,0.4,105,366.87367535481144,40.0,-165.25420685158952
0,-30,-60,-10,0,15,15,74306,480,0.7,0.3,2.3333333333333335,0.4,125,364.06191726261386,41.6,-149.60053196448962
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.3,2.3333333333333335,0.4,125,364.06191726261386,41.6,-149.60053196448962
0,-30,-60,-10,0,20,15,74306,480,0.7,0.3,2.3333333333333335,0.4,125,364.06191726261386,41.6,-149.60053196448962
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.3,2.3333333333333335,0.4,125,364.06191726261386,41.6,-149.60053196448962
0,-30,-60,-10,0,20,10,73983,480,0.7,0.3,2.3333333333333335,0.45,119,363.98197960923835,42.016806722689076,-135.9819207354003
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.25,2.0,0.4,172,363.0153600661283,41.27906976744186,-289.8673700765594
0,-30,-60,-10,0,20,15,74306,480,0.5,0.25,2.0,0.4,172,363.0153600661283,41.27906976744186,-289.8673700765594
0,-30,-60,-10,0,15,15,74306,480,0.5,0.25,2.0,0.4,172,363.0153600661283,41.27906976744186,-289.8673700765594
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.25,2.0,0.4,172,363.0153600661283,41.27906976744186,-289.8673700765594
-5,-30,-60,-10,0,15,15,74306,480,0.65,0.25,2.6,0.4,163,362.22987592412346,38.036809815950924,-236.9283274632735
0,-30,-60,-10,0,20,15,74306,480,0.65,0.25,2.6,0.4,163,362.22987592412346,38.036809815950924,-236.9283274632735
0,-30,-60,-10,0,15,15,74306,480,0.65,0.25,2.6,0.4,163,362.22987592412346,38.036809815950924,-236.9283274632735
-5,-30,-60,-10,0,20,15,74306,480,0.65,0.25,2.6,0.4,163,362.22987592412346,38.036809815950924,-236.9283274632735
0,-30,-60,-10,0,15,15,74306,480,0.7,0.35,2.0,0.4,116,361.65384232525275,45.689655172413794,-157.57575286471638
0,-30,-60,-10,0,20,15,74306,480,0.7,0.35,2.0,0.4,116,361.65384232525275,45.689655172413794,-157.57575286471638
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.35,2.0,0.4,116,361.65384232525275,45.689655172413794,-157.57575286471638
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.35,2.0,0.4,116,361.65384232525275,45.689655172413794,-157.57575286471638
0,-30,-60,-10,0,20,10,73983,480,0.7,0.2,3.4999999999999996,0.45,150,361.3823201409582,32.0,-131.89742976685466
0,-30,-60,-10,0,20,10,73983,360,0.45,0.25,1.8,0.4,129,359.404486844187,41.86046511627907,-182.1775617570729
0,-30,-60,-10,0,20,10,73983,480,0.7,0.4,1.7499999999999998,0.4,113,359.0703773358614,46.902654867256636,-174.80922764720071
0,-30,-60,-10,0,20,10,73983,360,0.55,0.4,1.375,0.4,86,358.0676800685346,48.837209302325576,-156.2327664395316
0,-30,-60,-10,0,20,15,74306,480,0.5,0.4,1.25,0.4,143,357.73764795731495,51.048951048951054,-259.5250010461323
0,-30,-60,-10,0,15,15,74306,480,0.5,0.4,1.25,0.4,143,357.73764795731495,51.048951048951054,-259.5250010461323
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.4,1.25,0.4,143,357.73764795731495,51.048951048951054,-259.5250010461323
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.4,1.25,0.4,143,357.73764795731495,51.048951048951054,-259.5250010461323
0,-30,-60,-10,0,15,15,74306,480,0.7,0.35,2.0,0.45,111,355.6874861986239,45.04504504504504,-157.57575286471638
0,-30,-60,-10,0,20,15,74306,480,0.7,0.35,2.0,0.45,111,355.6874861986239,45.04504504504504,-157.57575286471638
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.35,2.0,0.45,111,355.6874861986239,45.04504504504504,-157.57575286471638
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.35,2.0,0.45,111,355.6874861986239,45.04504504504504,-157.57575286471638
0,-30,-60,-10,0,20,15,74306,480,0.7,0.3,2.3333333333333335,0.45,121,354.7634154103598,40.49586776859504,-145.05467745939086
-5,-30,-60,-10,0,20,15,74306,480,0.7,0.3,2.3333333333333335,0.45,121,354.7634154103598,40.49586776859504,-145.05467745939086
-5,-30,-60,-10,0,15,15,74306,480,0.7,0.3,2.3333333333333335,0.45,121,354.7634154103598,40.49586776859504,-145.05467745939086
0,-30,-60,-10,0,15,15,74306,480,0.7,0.3,2.3333333333333335,0.45,121,354.7634154103598,40.49586776859504,-145.05467745939086
-5,-30,-60,-10,0,15,15,74306,480,0.5,0.3,1.6666666666666667,0.4,158,352.58625091934164,45.56962025316456,-267.4158586397625
-5,-30,-60,-10,0,20,15,74306,480,0.5,0.3,1.6666666666666667,0.4,158,352.58625091934164,45.56962025316456,-267.4158586397625
0,-30,-60,-10,0,20,15,74306,480,0.5,0.3,1.6666666666666667,0.4,158,352.58625091934164,45.56962025316456,-267.4158586397625
0,-30,-60,-10,0,15,15,74306,480,0.5,0.3,1.6666666666666667,0.4,158,352.58625091934164,45.56962025316456,-267.4158586397625
0,-30,-60,-10,0,20,15,74306,360,0.6,0.3,2.0,0.4,99,351.8829152794701,41.41414141414141,-135.78606276979917
