entry_time,exit_time,pnl,side,source,matched_pattern,pattern,exit_reason,entry_price,exit_price
2025-01-15 09:30:00+00:00,2025-01-15 10:00:00+00:00,30.0,1,long_retrace,,long_ret,tp,7664.0,7694.0
2025-01-15 16:15:00+00:00,2025-01-15 16:30:00+00:00,30.0,-1,ret_short,,ret_short,tp,7840.7,7810.7
2025-01-15 16:45:00+00:00,2025-01-15 17:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7834.9,7849.9
2025-01-15 17:15:00+00:00,2025-01-15 17:45:00+00:00,30.0,1,ret,,ret,tp,7828.0,7858.0
2025-01-16 15:45:00+00:00,2025-01-16 16:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7804.5,7774.5
2025-01-17 16:45:00+00:00,2025-01-17 17:00:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7780.6,7765.6
2025-01-20 14:00:00+00:00,2025-01-20 14:30:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7628.7,7643.7
2025-01-20 16:30:00+00:00,2025-01-21 01:00:00+00:00,62.599999999999454,1,wr90,,wr90,ny_close,7621.3,7683.9
2025-01-22 15:00:00+00:00,2025-01-22 15:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7556.8,7571.8
2025-01-22 16:15:00+00:00,2025-01-22 16:45:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7563.6,7578.6
2025-01-22 16:45:00+00:00,2025-01-22 17:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7578.5,7593.5
2025-01-22 17:15:00+00:00,2025-01-22 18:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7599.3,7569.3
2025-01-23 16:45:00+00:00,2025-01-23 17:00:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7471.4,7486.4
2025-01-23 17:30:00+00:00,2025-01-23 18:00:00+00:00,30.0,-1,ret_short,,ret_short,tp,7508.1,7478.1
2025-01-24 14:51:00+00:00,2025-01-24 16:21:00+00:00,26.400000000000546,-1,short_impulse,,si,timeout,,
2025-01-24 17:15:00+00:00,2025-01-24 19:30:00+00:00,18.399999999999636,1,wr90,,wr90,ny_close,7428.8,7447.2
2025-01-27 17:15:00+00:00,2025-01-27 19:30:00+00:00,26.099999999999454,1,wr90,,wr90,ny_close,7269.8,7295.9
2025-01-28 14:00:00+00:00,2025-01-28 14:15:00+00:00,-15.0,-1,ret_short,,ret_short,sl,7393.5,7408.5
2025-01-28 14:15:00+00:00,2025-01-28 14:30:00+00:00,-15.0,1,ret,,ret,sl,7377.0,7362.0
2025-01-28 14:32:00+00:00,2025-01-28 16:02:00+00:00,42.70000000000073,-1,short_impulse,,si,timeout,,
2025-01-29 15:00:00+00:00,2025-01-29 15:15:00+00:00,-15.0,1,long_retrace,,long_ret,sl,7337.5,7322.5
