eh,tpx,slx,rr,pt,nt,pnl,wr,dd
360,0.45,0.2,2.25,0.45,180,248.64427911295434,41.11111111111111,-236.78165562800677
480,0.6,0.25,2.4,0.5,116,248.5182686479352,41.37931034482759,-592.7475165978999
240,0.55,0.25,2.2,0.4,74,247.67710946802754,44.5945945945946,-189.7476929759332
360,0.45,0.3,1.5,0.5,150,246.4908644481343,48.66666666666667,-336.64875947043583
240,0.45,0.4,1.125,0.4,133,246.40449714450597,54.88721804511278,-428.394796484225
480,0.65,0.4,1.625,0.5,98,243.0184271848466,43.87755102040816,-433.3197536491648
360,0.55,0.3,1.8333333333333335,0.5,103,242.34263595648235,45.63106796116505,-422.3243061054818
240,0.45,0.3,1.5,0.55,65,241.69375666550695,47.69230769230769,-174.01641879443696
360,0.5,0.15,3.3333333333333335,0.5,100,238.66546799480784,35.0,-213.41644514863583
480,0.65,0.15,4.333333333333334,0.45,66,236.8149446953753,30.303030303030305,-305.0727563852429
360,0.5,0.2,2.5,0.55,84,234.1937841311269,39.285714285714285,-285.64459584344513
