signal_ts,side,p_long,p_short,p_pick,pnl,exit_reason,scaled_half,bars_held,win
2026-04-16 11:30:00+00:00,-1,0.17893822491168976,0.6461688280105591,0.6461688280105591,0.5799999999999272,timeout,False,10,True
2026-04-16 12:12:00+00:00,-1,0.37282508611679077,0.6355342268943787,0.6355342268943787,-0.3000000000001819,timeout,False,10,False
2026-04-16 12:33:00+00:00,-1,0.5253559947013855,0.6599557399749756,0.6599557399749756,5.0,trail_stop,True,5,True
2026-04-16 15:30:00+00:00,1,0.6219202876091003,0.36714068055152893,0.6219202876091003,5.0,trail_stop,True,7,True
2026-04-16 18:00:00+00:00,-1,0.4878556728363037,0.6050442457199097,0.6050442457199097,2.4600000000000364,timeout,False,10,True
2026-04-17 12:49:00+00:00,1,0.7164002656936646,0.6154414415359497,0.7164002656936646,5.0,trail_stop,True,3,True
2026-04-17 12:52:00+00:00,-1,0.4897471070289612,0.6447333693504333,0.6447333693504333,5.0,trail_stop,True,9,True
2026-04-20 11:53:00+00:00,1,0.6153057217597961,0.3101564943790436,0.6153057217597961,1.480000000000473,timeout,False,10,True
2026-04-20 13:29:00+00:00,-1,0.4234042167663574,0.7168241739273071,0.7168241739273071,5.0,trail_stop,True,2,True
2026-04-20 14:53:00+00:00,1,0.6473541259765625,0.5572975873947144,0.6473541259765625,-7.260000000000218,timeout,False,10,False
2026-04-21 13:15:00+00:00,-1,0.47071170806884766,0.5869240164756775,0.5869240164756775,-1.7400000000006912,timeout,False,10,False
2026-04-21 13:30:00+00:00,-1,0.5015771389007568,0.7475664019584656,0.7475664019584656,5.0,trail_stop,True,5,True
2026-04-21 16:51:00+00:00,-1,0.5797953009605408,0.6303755640983582,0.6303755640983582,5.0,trail_stop,True,2,True
2026-04-21 19:43:00+00:00,1,0.7229602336883545,0.5186300873756409,0.7229602336883545,5.0,trail_stop,True,3,True
2026-04-21 19:46:00+00:00,-1,0.627755880355835,0.7028596997261047,0.7028596997261047,-5.770000000000437,timeout,False,10,False
2026-04-22 13:20:00+00:00,-1,0.39286038279533386,0.6673953533172607,0.6673953533172607,1.1400000000003274,timeout,False,10,True
2026-04-23 08:00:00+00:00,1,0.6950287222862244,0.43049657344818115,0.6950287222862244,-5.850000000000364,timeout,False,10,False
2026-04-23 13:00:00+00:00,-1,0.5942350625991821,0.6957599520683289,0.6957599520683289,5.0,trail_stop,True,6,True
