entry,exit,pnl,reason,type,side,_leg,_prob,entry_price,exit_price
2026-04-29 12:00:00+00:00,2026-04-29 12:15:00+00:00,30.0,tp,ret,1,ret,0.6765248775482178,,
2026-04-29 13:15:00+00:00,2026-04-29 13:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7606052160263062,,
2026-04-29 13:30:00+00:00,2026-04-29 13:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7966242432594299,,
2026-04-29 15:15:00+00:00,2026-04-29 15:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.575261652469635,,
2026-04-29 15:30:00+00:00,2026-04-29 15:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7199742794036865,,
2026-04-29 16:45:00+00:00,2026-04-29 17:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6185680627822876,,
2026-04-30 08:00:00+00:00,2026-04-30 08:15:00+00:00,30.0,tp,ret,1,ret,0.5743580460548401,,
2026-04-30 08:45:00+00:00,2026-04-30 09:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.7042849659919739,,
2026-04-30 10:45:00+00:00,2026-04-30 11:00:00+00:00,-15.0,sl,ret,1,ret,0.5971178412437439,,
2026-04-30 11:45:00+00:00,2026-04-30 13:00:00+00:00,-30.0,swing_break,wr90,1,wr90,0.933566490308286,10244.5,10214.5
2026-04-30 13:00:00+00:00,2026-04-30 13:15:00+00:00,30.0,tp,ret,1,ret,0.8305289149284363,,
2026-04-30 13:15:00+00:00,2026-04-30 13:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7703932523727417,,
2026-04-30 15:00:00+00:00,2026-04-30 15:15:00+00:00,-15.0,sl,ret,1,ret,0.8574112057685852,,
2026-04-30 16:15:00+00:00,2026-04-30 16:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6091153621673584,,
2026-05-01 11:00:00+00:00,2026-05-01 11:15:00+00:00,-15.0,sl,ret,1,ret,0.5703845024108887,,
2026-05-01 13:15:00+00:00,2026-05-01 13:30:00+00:00,-15.0,sl,ret,1,ret,0.6046146750450134,,
2026-05-01 14:15:00+00:00,2026-05-01 14:30:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6423496007919312,,
2026-05-01 14:30:00+00:00,2026-05-01 14:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8273565769195557,,
2026-05-01 15:30:00+00:00,2026-05-01 15:45:00+00:00,30.0,tp,ret,1,ret,0.8118757009506226,,
2026-05-01 16:15:00+00:00,2026-05-01 16:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.5655986070632935,,
2026-05-04 07:45:00+00:00,2026-05-04 08:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.7390655875205994,,
2026-05-04 08:15:00+00:00,2026-05-04 08:30:00+00:00,-15.0,sl,ret,1,ret,0.7646262645721436,,
2026-05-04 08:30:00+00:00,2026-05-04 09:00:00+00:00,-15.0,sl,ret,1,ret,0.738177478313446,,
2026-05-04 09:00:00+00:00,2026-05-04 09:15:00+00:00,30.0,tp,ret,1,ret,0.6633378863334656,,
2026-05-04 09:15:00+00:00,2026-05-04 09:30:00+00:00,-15.0,sl,long_retrace,1,long_ret,0.6342103481292725,,
2026-05-04 09:30:00+00:00,2026-05-04 10:00:00+00:00,30.0,tp,ret,1,ret,0.7728181481361389,,
2026-05-04 11:15:00+00:00,2026-05-04 11:30:00+00:00,30.0,tp,ret,1,ret,0.6757558584213257,,
2026-05-04 12:00:00+00:00,2026-05-04 12:15:00+00:00,-15.0,sl,ret,1,ret,0.6443708539009094,,
2026-05-04 12:30:00+00:00,2026-05-04 12:45:00+00:00,30.0,tp,ret,1,ret,0.5693618655204773,,
2026-05-04 12:45:00+00:00,2026-05-04 13:00:00+00:00,30.0,tp,long_retrace,1,long_ret,0.7232807874679565,,
2026-05-04 14:30:00+00:00,2026-05-04 18:30:00+00:00,333.89999999999964,ny_close,wr90,1,wr90,0.9548871354997808,10037.5,10371.4
2026-05-05 07:15:00+00:00,2026-05-05 07:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6183732151985168,,
2026-05-05 09:00:00+00:00,2026-05-05 09:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.6623319983482361,,
2026-05-05 11:00:00+00:00,2026-05-05 11:15:00+00:00,30.0,tp,ret_short,-1,ret_short,0.65053790807724,,
2026-05-06 08:15:00+00:00,2026-05-06 08:30:00+00:00,30.0,tp,ret_short,-1,ret_short,0.5938878655433655,,
2026-05-06 11:30:00+00:00,2026-05-06 11:45:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.6707893013954163,,
2026-05-06 11:45:00+00:00,2026-05-06 12:00:00+00:00,-15.0,sl,ret_short,-1,ret_short,0.8166687488555908,,
