entry,exit,pnl,reason,type,side
2026-04-14 16:46:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-14 17:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 17:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 17:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 18:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 18:04:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 18:07:00+00:00,,34.400000000001455,target_hit,dip_long_15m,1
2026-04-14 18:52:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-14 19:16:00+00:00,,44.600000000000364,target_hit,dip_long_15m,1
2026-04-15 13:38:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-15 14:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 16:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 16:06:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 16:08:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 16:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 16:36:00+00:00,,11.200000000000728,timeout,dip_long_15m,1
2026-04-15 18:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 18:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 19:05:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 19:08:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-15 19:17:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-15 19:21:00+00:00,,41.0,target_hit,dip_long_15m,1
2026-04-16 13:46:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-16 15:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 15:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 15:09:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 15:31:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-16 15:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 15:37:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-16 16:16:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-16 18:17:00+00:00,,31.5,target_hit,dip_long_15m,1
2026-04-16 18:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 18:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 19:02:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-16 19:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 19:21:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 19:46:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-16 19:49:00+00:00,,-1.6000000000003638,timeout,dip_long_15m,1
2026-04-17 13:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 13:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 13:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 13:37:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-17 14:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:04:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:33:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:34:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-17 14:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:38:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 14:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 15:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 15:02:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 15:03:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 15:04:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-17 16:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 16:03:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-17 16:05:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 16:07:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 16:08:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 16:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 16:37:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 18:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 18:18:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 18:23:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-17 18:24:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 13:35:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-20 15:31:00+00:00,,36.29999999999927,target_hit,dip_long_15m,1
2026-04-20 15:48:00+00:00,,35.80000000000109,target_hit,dip_long_15m,1
2026-04-20 16:33:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-20 16:47:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 16:50:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 16:52:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-20 17:17:00+00:00,,32.70000000000073,target_hit,dip_long_15m,1
2026-04-20 17:36:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 17:39:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 18:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 18:06:00+00:00,,51.80000000000109,target_hit,dip_long_15m,1
2026-04-20 18:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 19:17:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 19:35:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-20 19:37:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 13:31:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 13:47:00+00:00,,31.299999999999272,target_hit,dip_long_15m,1
2026-04-21 15:31:00+00:00,,32.899999999999636,target_hit,dip_long_15m,1
2026-04-21 16:21:00+00:00,,32.0,target_hit,dip_long_15m,1
2026-04-21 16:48:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-21 18:01:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-21 19:01:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 19:16:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 19:21:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 19:24:00+00:00,,30.0,target_hit,dip_long_15m,1
2026-04-21 19:47:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 19:48:00+00:00,,-20.0,stop_loss,dip_long_15m,1
2026-04-21 19:49:00+00:00,,44.0,target_hit,dip_long_15m,1
2026-04-22 13:46:00+00:00,,32.0,target_hit,dip_long_15m,1
