mask,h,tp_x,sl_x,rr,bars,pos,hr,tp$,sl$,score
C_wr90_mid_drop,120,0.25,0.1,2.5,62656,9400,15.002553626149131,21.7962839873844,8.718513594953762,9400
C_wr90_mid_drop,480,0.4,0.1,4.0,62656,9396,14.996169560776302,34.87405437981505,8.718513594953762,9396
E_wr90_structure,360,0.2,0.15,1.3333333333333335,29361,9391,31.984605428970404,17.270364007115823,12.952773005336866,9391
D_wr30_bounce,240,0.4,0.2,2.0,63711,9228,14.484155012478222,34.78829945676886,17.39414972838443,9228
E_wr90_structure,240,0.2,0.15,1.3333333333333335,29361,9163,31.208065120397805,17.270364007115823,12.952773005336866,9163
C_wr90_mid_drop,240,0.4,0.2,2.0,62656,9153,14.608337589376916,34.87405437981505,17.437027189907525,9153
E_wr90_structure,240,0.25,0.25,1.0,29361,8973,30.56094819658731,21.587955008894777,21.587955008894777,8973
E_wr90_structure,360,0.3,0.25,1.2,29361,8955,30.49964238275263,25.90554601067373,21.587955008894777,8955
B_wr30_recovery,120,0.4,0.12,3.3333333333333335,141277,8860,6.27136759699031,34.64414819311313,10.393244457933935,8860
D_wr30_bounce,240,0.35,0.1,3.4999999999999996,63711,8849,13.889281285806218,30.439762024672746,8.697074864192215,8849
E_wr90_structure,480,0.3,0.2,1.4999999999999998,29361,8827,30.06368992881714,25.90554601067373,17.270364007115823,8827
