feature_idx,channel,bar,bars_ago,importance_s1,importance_s2,importance_avg
772,range_rel,22,127,0.0004275018934973063,0.0027058093073235928,0.0015666556004104496
773,range_rel,23,126,0.0006737776726340042,1.6180253598177726e-05,0.00034497896311609096
774,range_rel,24,125,0.001190335267103834,0.00025902372988104996,0.000724679498492442
775,range_rel,25,124,0.00016675704847814732,0.0006476600487733614,0.00040720854862575436
776,range_rel,26,123,0.0005482023260867719,1.3037929890997796e-05,0.0002806201279888848
777,range_rel,27,122,0.0003709521263674402,0.0001034164445771069,0.00023718428547227354
778,range_rel,28,121,0.00024136628115003096,0.0,0.00012068314057501548
779,range_rel,29,120,6.2304672734495645e-06,2.1896470579052212e-06,4.210057165677393e-06
780,range_rel,30,119,0.0034457019661863785,4.963974571864923e-05,0.001747670855952514
781,range_rel,31,118,0.001507621604400099,0.00010205680511836979,0.0008048392047592344
782,range_rel,32,117,0.004248142947029718,0.0005198732518807639,0.0023840080994552413
783,range_rel,33,116,0.0006513406251029246,1.0715662753143124e-05,0.0003310281439280339
784,range_rel,34,115,0.00017809184889417114,0.00039986430158753304,0.0002889780752408521
785,range_rel,35,114,0.0010440601789617292,2.2703411971826164e-06,0.0005231652600794559
786,range_rel,36,113,0.0008069362293886487,4.762485604028076e-05,0.0004272805427144647
787,range_rel,37,112,1.8027229688720272e-05,4.551404637347185e-05,3.177063803109606e-05
788,range_rel,38,111,0.00018194481247803238,3.195157175178785e-05,0.00010694819211491011
789,range_rel,39,110,0.0002119427031503104,0.0006713791244751344,0.0004416609138127224
790,range_rel,40,109,0.001190270282209924,0.00016835286784706215,0.0006793115750284931
791,range_rel,41,108,0.001525241471584119,6.014770865386715e-07,0.0007629214743353289
792,range_rel,42,107,0.00025265532871193285,0.00046950744735991114,0.000361081388035922
793,range_rel,43,106,4.81732525660096e-05,4.041942241739756e-06,2.6107597403874676e-05
794,range_rel,44,105,0.0006458098165844859,0.0003598276351750241,0.000502818725879755
795,range_rel,45,104,0.000947459010961841,0.0004981154879708836,0.0007227872494663623
796,range_rel,46,103,0.0005934003196214459,0.00022930975694605556,0.0004113550382837507
797,range_rel,47,102,0.0008241513643645837,2.4540489816196815e-06,0.0004133027066731017
798,range_rel,48,101,0.0012764279431642686,1.5814539271102418e-05,0.0006461212412176855
799,range_rel,49,100,0.00012391760396894983,4.7652037871929236e-05,8.578482092043953e-05
800,range_rel,50,99,0.00032038742148664674,0.00019400329938389237,0.00025719536043526957
801,range_rel,51,98,2.7210457164031537e-05,4.450848376160202e-05,3.585947046281678e-05
802,range_rel,52,97,0.0004036971795211215,3.478327446540194e-05,0.00021924022699326172
803,range_rel,53,96,0.00021488833872910484,0.00042078293121049345,0.00031783563496979916
804,range_rel,54,95,0.0006204553599361324,0.0007784141488754899,0.0006994347544058111
805,range_rel,55,94,0.0006119572758423855,3.499183422177311e-05,0.0003234745550320793
806,range_rel,56,93,0.00029296610400402325,5.541184970550662e-08,0.00014651075792686437
807,range_rel,57,92,0.00026980287685966526,2.0692864607457022e-06,0.00013593608166020547
808,range_rel,58,91,0.000141256147415705,1.1482085358105149e-12,7.062807428195677e-05
809,range_rel,59,90,1.0548637192601793e-05,0.00010928979030466865,5.991921374863522e-05
810,range_rel,60,89,0.0004217869697755072,2.8147045373162943e-05,0.00022496700757433506
811,range_rel,61,88,0.00033808041003051653,6.829406291267795e-05,0.00020318723647159723
812,range_rel,62,87,5.6433455684803943e-05,6.234463190654434e-05,5.938904379567414e-05
813,range_rel,63,86,0.00046356454946901876,8.691392722020732e-05,0.000275239238344613
814,range_rel,64,85,0.0005120190174314398,0.00012618870164131824,0.000319103859536379
815,range_rel,65,84,0.001122442809459509,8.75000868817056e-05,0.0006049714481706072
816,range_rel,66,83,0.00029394285687822603,8.332720086149782e-06,0.0001511377884821879
817,range_rel,67,82,0.0001326400809293409,0.002031993716148392,0.0010823168985388664
818,range_rel,68,81,0.00011221669384710883,1.950666237984592e-05,6.586167811347738e-05
